ID,Class,Percent,Subclass
17916904925611024,Clothing,0.5,object
17943957347506560,Packaged goods,0.5,object
18016676617423341,Top,0.5,object
17965720894761816,Luggage & bags,0.5,object
18104479048293660,Happy,0.5,item
17946075923194280,Person,0.5,object
17978306161657468,Clothing,0.5,object
17940180821186171,Clothing,0.5,object
17938204379417796,Hat,0.5,object
18324748780025136,Furniture,0.5,object
17947891687933847,Top,0.5,object
17966513899816928,Document,0.5,item
17940832151240061,Circle,0.5,item
17966765209927678,Number,0.5,item
17937881750196379,Science,0.5,item
17985799030562315,Clothing,0.5,object
17904089795664524,Table top,0.5,object
17950541405113905,Person,0.5,object
17909482754635010,Person,0.5,object
18184156894173103,Packaged goods,0.5,object
17936424944269259,Terrestrial animal,0.5,item
17962881514829799,Packaged goods,0.5,object
17969251753686181,Outerwear,0.5,object
17964827812697927,Building,0.5,object
18036096376386003,Glasses,0.5,object
17933134664429040,Top,0.5,object
18024063124396797,Person,0.5,object
18221510416085524,Person,0.5,object
18045784819360077,Chair,0.5,object
17972451517644592,Person,0.5,object
17929185599275389,Graphics,0.5,item
17963855860983428,Glasses,0.5,object
17997678307551027,Logo,0.5,item
17978462974699443,Person,0.5,object
18005382265459989,Person,0.5,object
17994728887556273,Person,0.5,object
17983854571603363,Brand,0.5,item
17997957550474251,Hat,0.5,object
17968124608889814,Clothing,0.5,object
17926918331397684,Glasses,0.5,object
17968124608889814,Luggage & bags,0.5,object
18178392799229523,Parallel,0.5,item
17976677491745514,Person,0.5,object
18231340024135815,Hat,0.5,object
17953451417041972,Table,0.5,object
17955905590778760,Clothing,0.5,object
17967584497763362,Hat,0.5,object
18059110555343879,Window,0.5,object
18241751392140991,Person,0.51,object
17955668368987107,Suit,0.51,object
17852051906844844,Person,0.51,object
17951327201067120,Person,0.51,object
18223502698199824,Hat,0.51,object
18221787676146723,Furniture,0.51,object
17956358962890471,Clothing,0.51,object
18040594843329641,Hat,0.51,object
17928594671435227,Wine glass,0.51,object
17918295695624170,Person,0.51,object
17946617606245328,Display device,0.51,item
17937286625310860,Clothing,0.51,object
17929362938366970,Tubed packaged goods,0.51,object
17938731566453071,Shirt,0.51,object
18248378107107896,Top,0.51,object
17960020456997327,Person,0.51,object
17907886313615009,Number,0.51,item
17879630420751067,Person,0.51,object
17943842678211702,Person,0.51,object
17873125907782070,Suit,0.51,object
17883810062684011,Clothing,0.51,object
17935700144317342,Hat,0.51,object
17967299299894159,Clothing,0.51,object
17952895466311596,Hat,0.51,object
17927492663418802,Person,0.51,object
17998174192471208,Person,0.51,object
17930124074324958,Outerwear,0.51,object
18179164993233513,Clothing,0.51,object
17983854571603363,Rectangle,0.51,item
17961612832940779,Shorts,0.51,object
17969251753686181,Jeans,0.51,object
17884498805716897,Clothing,0.51,object
17936775662293181,Coat,0.51,object
18178392799229523,Event,0.51,item
17964438922864641,Packaged goods,0.51,object
17978437621603773,Packaged goods,0.51,object
17956358962890471,Hat,0.51,object
17920463363443832,Top,0.51,object
17941946951211496,Clothing,0.51,object
17920301867614963,Slope,0.51,item
18044441899363948,Clothing,0.51,object
18211820713094021,Person,0.51,object
17886912248708701,Person,0.51,object
17960227315737350,Darkness,0.51,item
17943678350196323,Photo caption,0.51,item
17935427087280526,Food,0.51,object
17900883860663740,Hat,0.51,object
17959169455756787,Packaged goods,0.51,object
17922647999339249,Person,0.51,object
17951808089008671,Packaged goods,0.51,object
18132403960285972,Suit,0.51,object
17985244936536329,Machine,0.51,item
17859673835812237,Person,0.51,object
17870682881743855,Person,0.51,object
18066717874311012,Person,0.51,object
18324748780025136,Clothing,0.51,object
17898017813583302,Person,0.51,object
17951208704089068,Clothing,0.51,object
17949836564201348,Clothing,0.51,object
17933273741230719,Container,0.51,object
17923024595564645,Groundcover,0.51,item
17945645744034793,Packaged goods,0.51,object
17902453913672698,Outerwear,0.51,object
17946075923194280,Tie,0.51,object
18311290330000629,Person,0.51,object
17864331200773957,Hat,0.51,object
18020649967439177,Computer keyboard,0.51,object
18287541361078609,Person,0.51,object
17949492689177206,Hat,0.51,object
17957207419969373,Person,0.51,object
17942513267185168,Clothing,0.51,object
17958930253780008,Hat,0.51,object
17942513267185168,Glasses,0.51,object
17954776208120717,Clothing,0.51,object
17943064064134108,Person,0.51,object
17957391511974833,Table,0.51,object
17981581897714355,Clothing,0.51,object
18017368669404364,Darkness,0.51,item
17948466449238860,Person,0.51,object
17937881750196379,Transport,0.51,item
18319054417047420,Person,0.51,object
17853465005832375,Rectangle,0.51,item
17960020456997327,Glasses,0.51,object
17956439314958648,Coat,0.52,object
17956684846985894,Glasses,0.52,object
17957390834073864,Person,0.52,object
17940832151240061,History,0.52,item
18034844338381438,Clothing,0.52,object
17928276896584128,Clothing,0.52,object
17855501513788734,Hat,0.52,object
17964263932773423,Suit,0.52,object
17934654290421387,Person,0.52,object
17960315656946718,Houseplant,0.52,object
17859673835812237,Rectangle,0.52,item
17974114642806603,Electric blue,0.52,item
17956025029996969,Tie,0.52,object
17959890421891524,Wheel,0.52,object
18176783491236417,Tie,0.52,object
17943477584341229,Person,0.52,object
17984125153610343,Person,0.52,object
17946532628018131,Hat,0.52,object
17940341390331873,Person,0.52,object
17958491167967998,Outerwear,0.52,object
17949258401060942,Clothing,0.52,object
18000655921475217,Coat,0.52,object
17957391511974833,Top,0.52,object
17980169449652666,Flag,0.52,object
17864331200773957,Person,0.52,object
17982808732559401,Hat,0.52,object
17948784656488567,Media,0.52,item
17964865441780347,Clothing,0.52,object
17938437653173283,Coat,0.52,object
17922562763561714,Web page,0.52,item
18128770687305115,Person,0.52,object
17945645744034793,Magenta,0.52,item
17927210417400019,Person,0.52,object
17943678350196323,Signage,0.52,item
17966513899816928,Number,0.52,item
18318566458039685,Circle,0.52,item
17943678350196323,Advertising,0.52,item
18311290330000629,Clothing,0.52,object
17966765209927678,Circle,0.52,item
18311943709046350,Hat,0.52,object
17988534400611976,Top,0.52,object
18146236921264995,Racket,0.52,object
17980288375572414,Luggage & bags,0.52,object
18175677523223964,Top,0.52,object
18155784574267686,Clothing,0.52,object
17969522296707102,Person,0.52,object
17946360797097700,Building,0.52,object
18247980502129945,Person,0.52,object
17934812021402535,Shoe,0.52,object
18251427157108068,Clothing,0.52,object
18252529531188210,Lighting,0.52,object
18146583529283715,Clothing,0.52,object
17967584497763362,Person,0.52,object
17948648305908256,Glasses,0.52,object
18251427157108068,Person,0.52,object
17880950561691209,Person,0.52,object
17956557455028409,Shirt,0.52,object
17985638896552096,Person,0.52,object
18000295267469344,Number,0.52,item
17915493452575045,Watch,0.52,object
17971362394744261,Clothing,0.52,object
17884081778672188,Person,0.52,object
17925123692586340,Person,0.52,object
18045784819360077,Furniture,0.52,object
17938980977241950,Glasses,0.52,object
18058057453334650,Hat,0.52,object
17995260586534801,Person,0.52,object
18020811559418768,Number,0.52,item
17983393306567311,Building,0.52,object
17907081461635062,Flag,0.52,object
17997678307551027,Job,0.52,item
17964870223852388,Person,0.52,object
18244854760109554,Outerwear,0.52,object
17997678307551027,Audio equipment,0.52,item
17949723287288345,Clothing,0.52,object
17902944683640723,Glasses,0.52,object
17884823429685029,Packaged goods,0.52,object
17997678307551027,Brand,0.52,item
17938738064192505,News,0.52,item
17936567696309150,Person,0.52,object
17938738064192505,Sportswear,0.52,item
17895244775607933,Clothing,0.52,object
17948466449238860,Tie,0.53,object
17991982246545446,Packaged goods,0.53,object
17975231296823580,Person,0.53,object
17975231296823580,Coat,0.53,object
17995063822484812,Clothing,0.53,object
17940832151240061,Commemorative plaque,0.53,item
17968594708735629,Clothing,0.53,object
17943656060194750,Top,0.53,object
17967524626762535,Top,0.53,object
18004084999433567,Clothing,0.53,object
17969358844786471,Packaged goods,0.53,object
17960227315737350,Logo,0.53,item
17964570661748589,Person,0.53,object
17884081778672188,Hat,0.53,object
17895487976596523,Packaged goods,0.53,object
18000295267469344,Packaged goods,0.53,object
17976291868782746,Fun,0.53,item
17989665328551166,Top,0.53,object
17959930448039046,Bookcase,0.53,object
17958006743074004,Luggage & bags,0.53,object
18040594843329641,Person,0.53,object
17895625184695580,Person,0.53,object
17958752888002668,Hat,0.53,object
17953837037039504,Clothing,0.53,object
17937254978310105,Person,0.53,object
18017368669404364,Clothing,0.53,object
17925753374470842,Person,0.53,object
17925216050582235,Clothing,0.53,object
17963466370950867,Person,0.53,object
18227768536198715,Luggage & bags,0.53,object
17963998249823442,Tire,0.53,object
17928594671435227,Clothing,0.53,object
17915067566531828,Packaged goods,0.53,object
17928594671435227,Pants,0.53,object
18251765434118238,Suit,0.53,object
17884970786665944,Person,0.53,object
17884823429685029,Person,0.53,object
17915060837575857,Photo caption,0.53,item
17965523158808037,Coat,0.53,object
17945645744034793,Logo,0.53,item
17850475850826949,Person,0.53,object
17966604028948329,Hat,0.53,object
18311668867002669,Shirt,0.53,object
17927038463426673,Clothing,0.53,object
17937881750196379,History,0.53,item
18231340024135815,Pillow,0.53,object
17980812691639081,Coat,0.53,object
18221787676146723,Person,0.53,object
17971631308653987,Shirt,0.53,object
18178392799229523,Number,0.53,item
18175677523223964,Clothing,0.53,object
17870875616744089,Suit,0.53,object
17925753374470842,Parallel,0.53,item
17918169362615179,Person,0.53,object
18177183421210876,Clothing,0.53,object
17929362938366970,Photo caption,0.53,item
17960067658812706,Hat,0.53,object
17950249865026428,Media,0.53,item
17950249865026428,Circle,0.53,item
17903860613553172,Bottle,0.53,object
17947126922081306,Person,0.53,object
17961266153049322,Person,0.53,object
17958930253780008,Clothing,0.53,object
18167507644246434,Clothing,0.53,object
17855501513788734,Clothing,0.53,object
17983888318644829,Shirt,0.53,object
17954710811137720,Coat,0.54,object
17923024595564645,Soil,0.54,item
17946075923194280,Clothing,0.54,object
17938437653173283,Clothing,0.54,object
17958765772954320,Person,0.54,object
18104479048293660,Number,0.54,item
17880950561691209,Glasses,0.54,object
17986859383614969,Glasses,0.54,object
17965523158808037,Glasses,0.54,object
18065030758310027,Clothing,0.54,object
17853587639830034,Person,0.54,object
17903087216603841,Microphone,0.54,object
17951808089008671,Person,0.54,object
18176183197220222,Clothing,0.54,object
17936424944269259,Person,0.54,object
17990931415492209,Hat,0.54,object
17996167051486413,Television,0.54,object
17970496729651053,Person,0.54,object
18230984440182753,Happy,0.54,item
17976677491745514,Glasses,0.54,object
17950249865026428,Multimedia,0.54,item
17973665914621946,Astronomical object,0.54,item
18261076783103581,Person,0.54,object
18294935743068769,Outerwear,0.54,object
17937881750196379,Circle,0.54,item
17948672000062183,Person,0.54,object
17949258401060942,Outerwear,0.54,object
17989665328551166,Racket,0.54,object
17929362938366970,Heat,0.54,item
17974114642806603,Number,0.54,item
18006877393459566,Building,0.54,object
17925363698441869,Shoe,0.54,object
17915493452575045,Tie,0.54,object
17915060837575857,Circle,0.54,item
17915060837575857,Science,0.54,item
17915060837575857,Multimedia,0.54,item
17915060837575857,Logo,0.54,item
17927669603584392,Luggage & bags,0.54,object
17927976857438217,Shirt,0.54,object
17931985901334716,Banner,0.54,item
17910053351568534,Glasses,0.54,object
17932458884410149,Person,0.54,object
17954710811137720,Suit,0.54,object
17925216050582235,Person,0.54,object
17885266244695567,Clothing,0.54,object
17939966258071673,Electric blue,0.54,item
17920463363443832,Shirt,0.54,object
17938738064192505,Job,0.54,item
17982839719639550,Building,0.54,object
17975093191611983,Slope,0.54,item
17997678307551027,Advertising,0.54,item
18058229647337655,Earrings,0.54,object
17907081461635062,Person,0.54,object
17942513267185168,Hat,0.54,object
17950541405113905,Hat,0.54,object
17908087889653310,Top,0.54,object
17907886313615009,Happy,0.54,item
17938731566453071,Bookcase,0.54,object
17963998249823442,Coat,0.54,object
18028500346386147,Glasses,0.54,object
17916403838547393,Outerwear,0.54,object
17990215636475463,Flag,0.54,object
17953451417041972,Clothing,0.54,object
18075220759308235,Suit,0.54,object
18004084999433567,Conversation,0.54,item
17933727278510737,Web page,0.54,item
17985244936536329,Table,0.54,object
18057996592344339,Hat,0.54,object
18054959545350347,Clothing,0.54,object
17851882631788456,Clothing,0.54,object
18184453729204344,Person,0.54,object
17983854571603363,Media,0.54,item
18020811559418768,Magenta,0.54,item
17846685419827021,Parallel,0.54,item
17846685419827021,Circle,0.54,item
17855501513788734,Person,0.54,object
18034844338381438,Suit,0.54,object
17870275751754213,Glasses,0.54,object
17946617606245328,Shoe,0.54,object
17982834790643731,Shorts,0.54,object
18311185627052982,Picture frame,0.54,object
17940180821186171,Person,0.55,object
17967584497763362,Glasses,0.55,object
17963976823983273,Person,0.55,object
17954876699035026,Clothing,0.55,object
18321827500008669,Person,0.55,object
18146236921264995,Advertising,0.55,item
17946617606245328,Media,0.55,item
17853670316837543,Clothing,0.55,object
17947813073164974,Fur,0.55,item
17943957347506560,Person,0.55,object
17860004918764401,Clothing,0.55,object
18294935743068769,Tire,0.55,object
17947284065210193,Number,0.55,item
17976883540602131,Clothing,0.55,object
17965523158808037,Pants,0.55,object
17966362507750256,Top,0.55,object
17985799030562315,Packaged goods,0.55,object
18328019905003834,Person,0.55,object
17945645744034793,Brand,0.55,item
17948784656488567,Logo,0.55,item
17971070962739604,Drink,0.55,object
17953416650112127,Automotive window part,0.55,item
18211820713094021,Clothing,0.55,object
18167265103217123,Person,0.55,object
17944128836148849,Clothing,0.55,object
17958930253780008,Glasses,0.55,object
17997678307551027,Photo caption,0.55,item
17930982854305772,Hat,0.55,object
17958752888002668,Glasses,0.55,object
18005918707452090,Wheel,0.55,object
17949433448087577,Flag,0.55,object
17946617606245328,Advertising,0.55,item
17940105941409643,Hat,0.55,object
17943477584341229,Flag,0.55,object
17978546716562944,Person,0.55,object
17943656060194750,City,0.55,item
18246354295140305,Clothing,0.55,object
17962494352852377,Clothing,0.55,object
17966604028948329,Person,0.55,object
18041421523376097,Coat,0.55,object
17870875616744089,Clothing,0.55,object
17974192978705773,Sunglasses,0.55,object
18146583529283715,Watch,0.55,object
17922647999339249,Glasses,0.55,object
18021181315406482,Person,0.55,object
17954938187297435,Brand,0.55,item
18221787676146723,Computer keyboard,0.55,item
17945268863316156,Clothing,0.55,object
17959169455756787,Person,0.55,object
17953060918918426,Person,0.55,object
17918295695624170,Clothing,0.55,object
17947813073164974,Sitting,0.55,item
18253983139116898,Flag,0.55,object
17895625184695580,Clothing,0.55,object
17966765209927678,Parallel,0.55,item
17882409857706211,Clothing,0.55,object
17959890421891524,Clothing,0.55,object
17847963803795429,Shirt,0.55,object
17927669603584392,Clothing,0.55,object
17964486178747991,Circle,0.55,item
17971631308653987,Person,0.55,object
17971631308653987,Clothing,0.55,object
17870275751754213,Packaged goods,0.55,object
17948366453232303,Font,0.55,item
17938980977241950,Suit,0.55,object
17948366453232303,Science,0.55,item
17926525241553757,Clothing,0.55,object
17956358962890471,Person,0.55,object
17964865441780347,Person,0.55,object
17849573453845495,Coat,0.55,object
18304799446045429,Hat,0.55,object
17925843833560888,Person,0.55,object
18045784819360077,Media,0.55,item
17997117118533283,Person,0.55,object
17997117118533283,Car,0.55,object
18304799446045429,Person,0.55,object
17968124608889814,Person,0.55,object
18002751037428338,Top,0.55,object
18178392799229523,Electric blue,0.55,item
17945645744034793,Multimedia,0.55,item
17966582779842208,Clothing,0.55,object
18140104393287245,Signage,0.55,item
17972865247677121,Packaged goods,0.55,object
18140104393287245,Advertising,0.55,item
17889705191716031,Window,0.55,object
17966362507750256,Person,0.55,object
17990273296602429,Top,0.55,object
18004084999433567,Logo,0.55,item
17973744322758470,Outerwear,0.55,object
17965720894761816,Hat,0.55,object
17918601650412373,Watch,0.55,object
17925997754409078,Person,0.55,object
17963834518804014,Darkness,0.55,item
18103037923291244,Person,0.55,object
17991876490517661,Person,0.55,object
18208214353081638,Clothing,0.55,object
18146236921264995,Web page,0.55,item
18005918707452090,Top,0.55,object
17941329272366301,Person,0.56,object
17985799030562315,Circle,0.56,item
18002672812506143,Person,0.56,object
17964870223852388,Selfie,0.56,item
17960831504070668,Clothing,0.56,object
17973665914621946,Logo,0.56,item
18104479048293660,Circle,0.56,item
17954938187297435,Rectangle,0.56,item
18318566458039685,Media,0.56,item
18006123118454237,Pants,0.56,object
17964870223852388,Jewellery,0.56,item
17952268382078908,Outerwear,0.56,object
17984125153610343,Formal wear,0.56,item
17972719963739979,Person,0.56,object
17875986500704459,Science,0.56,item
17951579990203830,Building,0.56,object
17951099798021518,Person,0.56,object
17942312096350290,Person,0.56,object
17853465005832375,Parallel,0.56,item
17976071617775351,Glasses,0.56,object
18045784819360077,Suit,0.56,item
17980812691639081,Person,0.56,object
17952394681975596,Person,0.56,object
17947813073164974,Facial hair,0.56,item
17900883860663740,Luggage & bags,0.56,object
17916403838547393,Pants,0.56,object
17977002148775393,Top,0.56,object
17850475850826949,Glasses,0.56,object
17962477475058809,Hat,0.56,object
17970981859663804,Science,0.56,item
17946617606245328,Web page,0.56,item
17966362507750256,Luggage & bags,0.56,object
17951987333310919,Top,0.56,object
17891092355691068,Sharing,0.56,item
17957011330939316,Photo caption,0.56,item
17973744322758470,Suit,0.56,object
18001118635476534,Clothing,0.56,object
17886385628670946,Person,0.56,object
17934812021402535,Hat,0.56,object
17971631308653987,Eyewear,0.56,item
17952193699924420,Shirt,0.56,object
18064488979317343,Person,0.56,object
17963834518804014,Horizon,0.56,item
18303870943011660,Person,0.56,object
18017368669404364,Logo,0.56,item
17923833179497978,Clothing,0.56,object
17950991980911992,Flag,0.56,object
18073414957313985,Clothing,0.56,object
17984125153610343,Animation,0.56,item
17931595790291620,Facial hair,0.56,item
17913785393621543,Tie,0.56,object
17922562763561714,Slope,0.56,item
17851882631788456,Hat,0.56,object
17965937098742772,Person,0.56,object
17924185862549289,Person,0.56,object
17962494352852377,Person,0.56,object
17920301867614963,Graphic design,0.56,item
17879630420751067,Entertainment,0.56,item
17895625184695580,Pants,0.56,object
18016676617423341,Shirt,0.56,object
17971362394744261,Person,0.56,object
17960441204000549,Circle,0.56,item
17951208704089068,Outerwear,0.56,object
17983628497553378,Brand,0.56,item
17970981859663804,Screenshot,0.56,item
17909222474642560,Transport,0.56,item
17970981859663804,Logo,0.56,item
17957216464873775,Toy,0.56,object
17958491167967998,Luggage & bags,0.56,object
18018070558414067,Person,0.56,object
17921574686602200,Coat,0.56,object
18251765434118238,Belt,0.56,object
17926981400304193,Person,0.57,object
17915361722613299,Outerwear,0.57,object
17935876982471669,Glasses,0.57,object
17946888821181832,Watch,0.57,object
17938840520219521,Photo caption,0.57,item
17953416650112127,Advertising,0.57,item
17967299299894159,Person,0.57,object
18285643762072012,Packaged goods,0.57,object
17910239162614198,Shirt,0.57,object
17926372835409641,Screenshot,0.57,item
17982305977719533,Circle,0.57,item
17925753374470842,Number,0.57,item
17946929663231892,Glasses,0.57,object
17985799030562315,Person,0.57,object
17950249865026428,Electric blue,0.57,item
17940832151240061,Science,0.57,item
17956940677969544,Outerwear,0.57,object
17916057026556977,Shoe,0.57,object
17956684846985894,Person,0.57,object
17950368805981750,Clothing,0.57,object
18310084654021692,Clothing,0.57,object
17985244936536329,Comfort,0.57,item
18297229780070836,Suit,0.57,object
17985244936536329,Job,0.57,item
17937881750196379,Event,0.57,item
17963834518804014,Landscape,0.57,item
17922837278574424,Sunglasses,0.57,object
17900883860663740,Packaged goods,0.57,object
17951949434283438,Visual arts,0.57,item
17963039953835970,Circle,0.57,item
17965664221948789,Microphone,0.57,object
17958006743074004,Suit,0.57,object
17953837037039504,Top,0.57,object
18034844338381438,Pants,0.57,object
17916290225622149,Person,0.57,object
18024358792407414,Shirt,0.57,object
17864331200773957,Clothing,0.57,object
17946985442134406,Clothing,0.57,object
17954938187297435,Graphic design,0.57,item
17946985442134406,Suit,0.57,object
18316363960002130,Animal,0.57,object
17985799030562315,Slope,0.57,item
17947391999280591,Suit,0.57,object
17960227315737350,Photo caption,0.57,item
17947891687933847,Racket,0.57,object
18147644032274951,Symbol,0.57,item
17959169119862400,Clothing,0.57,object
17958033481994027,Top,0.57,object
