ID,Class,Percent,Subclass
7130805243079675141,Event,0.73,item
7118453762775108869,Moustache,0.73,item
7159278949032332550,Electric blue,0.73,item
7148896985003789573,Top,0.73,object
7122794926173080837,Electric blue,0.73,item
7149171658169847045,Happy,0.73,item
7152235693681478918,Recreation,0.73,item
7118453762775108869,Facial hair,0.73,item
7155885964139695365,Grass,0.73,item
7152631322714934533,Fun,0.73,item
7152631322714934533,Necklace,0.73,item
7135818610714414342,Event,0.73,item
7128182527054941446,T-shirt,0.73,item
7147701638466227483,Gold medal,0.73,item
7130703792714059013,White-collar worker,0.73,item
7155198217771060486,Curtain,0.73,item
7135818610714414342,Multimedia,0.73,item
7119192184913431813,Clothing,0.73,object
7136393885001059590,Animal,0.73,object
7128066426392284421,Event,0.73,item
7128066426392284421,Font,0.73,item
7136393885001059590,Recreation,0.73,item
7136351531431054598,Event,0.73,item
7159204609628687622,Microphone stand,0.73,item
7136393885001059590,Player,0.73,item
7160041692911930630,Public address system,0.73,item
7127753826043448581,Top,0.73,object
7115560675824422149,Event,0.73,item
7131433205214792966,Top,0.73,object
7130703792714059013,Wrinkle,0.73,item
7148455112862731525,Event,0.73,item
7136295645966585093,Entertainment,0.73,item
7160037888611126534,Ball,0.73,item
7131015973125115142,Publication,0.73,item
7131015973125115142,Beard,0.73,item
7152874891794976006,Motor vehicle,0.73,item
7159204609628687622,Technology,0.73,item
7158819669757922566,Chair,0.73,item
7131839191364799750,Clothing,0.73,object
7131015973125115142,Person,0.73,object
7127615786109259014,Electronic device,0.73,item
7127615786109259014,Speech,0.73,item
7122794926173080837,Top,0.73,object
7136295645966585093,T-shirt,0.73,item
7131879665454681349,Advertising,0.73,item
7149648521845591302,Technology,0.73,item
7138572663148055814,Electronic device,0.73,item
7154526379860692229,Fun,0.73,item
7154031444111707397,Microphone,0.73,item
7126678238155279621,Beard,0.73,item
7156698258792860933,Event,0.73,item
7156698258792860933,Music,0.73,item
7129999617961381125,Suit,0.73,item
