ID,Class,Percent,Subclass
18005382265459989,Leisure,0.73,item
267949976607343_728389008648118,Font,0.73,item
18147644032274951,Vehicle registration plate,0.73,item
17964749695892349,Art,0.73,item
267949976607343_1288291178589625,Event,0.73,item
267949976607343_720519742768378,T-shirt,0.73,item
267949976607343_454570596765545,Multimedia,0.73,item
267949976607343_1288291178589625,Magenta,0.73,item
267949976607343_688426515977701,Packaged goods,0.73,object
267949976607343_690806165739736,Advertising,0.73,item
267949976607343_690806165739736,News,0.73,item
267949976607343_5806679662731444,Formal wear,0.73,item
17955829346140127,Moustache,0.73,item
267949976607343_678397756980577,Advertising,0.73,item
17922837278574424,Advertising,0.73,item
17937643400250677,Publication,0.73,item
267949976607343_690806165739736,Event,0.73,item
267949976607343_693354165484936,Event,0.73,item
267949976607343_630302665123420,Facial hair,0.73,item
17937643400250677,Event,0.73,item
267949976607343_721266789360340,Happy,0.73,item
267949976607343_827842151685955,Suit,0.73,item
17957631520887611,Photo caption,0.73,item
267949976607343_1288291178589625,Performing arts,0.73,item
267949976607343_627666955386991,T-shirt,0.73,item
267949976607343_689713195849033,Event,0.73,item
267949976607343_471922514698335,Person,0.73,object
267949976607343_718622069624812,Photo caption,0.73,item
267949976607343_638839647603055,Magenta,0.73,item
267949976607343_650465986435949,Competition event,0.73,item
267949976607343_714995219987497,Event,0.73,item
267949976607343_710908440396175,Advertising,0.73,item
267949976607343_615358983284455,Person,0.73,object
267949976607343_702361444584208,Pants,0.73,object
267949976607343_702361444584208,Person,0.73,object
17964057376868739,Championship,0.73,item
267949976607343_727907625362923,Multimedia,0.73,item
267949976607343_690705912416428,Event,0.73,item
17877255332712627,Clothing,0.73,object
267949976607343_725578042262548,Event,0.73,item
17902944683640723,Fun,0.73,item
18066717874311012,Facial hair,0.73,item
18066717874311012,Book,0.73,item
267949976607343_679562386864114,Font,0.73,item
267949976607343_638839647603055,Font,0.73,item
17964749695892349,Clothing,0.73,object
18255800947099834,Wrinkle,0.73,item
267949976607343_729022318584787,T-shirt,0.73,item
267949976607343_720519742768378,Event,0.73,item
267949976607343_1296598094437310,Crowd,0.73,item
17937610781414329,Speech,0.73,item
17937610781414329,Electronic device,0.73,item
267949976607343_5806679662731444,White-collar worker,0.73,item
267949976607343_647726953380991,Event,0.73,item
267949976607343_685261416294211,Technology,0.73,item
267949976607343_720383009448718,Audio equipment,0.73,item
267949976607343_632820634849404,City,0.73,item
267949976607343_718329222987430,Person,0.73,object
267949976607343_654629956024024,Advertising,0.73,item
267949976607343_718447542975598,Event,0.73,item
17950991980911992,Human settlement,0.73,item
267949976607343_714995219987497,Pole,0.73,item
267949976607343_714995219987497,Baseball cap,0.73,item
18010772062422826,Poster,0.73,item
17953844921039696,Leisure,0.73,item
267949976607343_668307477989605,Electric blue,0.73,item
